command	status	help_flag	bytes	version
bzcmp	present		0	bzcmp: version not found or not a regular file
bzdiff	present		0	bzdiff: version not found or not a regular file
bzegrep	present		0	
bzexe	present		0	bzexe: --version not a file
bzfgrep	present		0	
bzgrep	present		0	
bzip2	present	--help	1246	bzip2, a block-sorting file compressor.  Version 1.0.8, 13-Jul-2019.
bzip2recover	present	(no args)	163	bzip2recover 1.0.8: extracts blocks from damaged .bz2 files.
bzless	present	--help	1269	------> --version <------
bzmore	present	--help	1269	------> --version <------
c++	present	--help	4090	c++ (Debian 12.2.0-14+deb12u1) 12.2.0
c++filt	present	--help	1006	GNU c++filt (GNU Binutils for Debian) 2.40
c89	present	--help	4090	gcc (Debian 12.2.0-14+deb12u1) 12.2.0
c89-gcc	present	--help	4090	gcc (Debian 12.2.0-14+deb12u1) 12.2.0
c99	present	--help	4090	gcc (Debian 12.2.0-14+deb12u1) 12.2.0
c99-gcc	present	--help	4090	gcc (Debian 12.2.0-14+deb12u1) 12.2.0
c_rehash	present	-h	152	
cabextract	present	--help	986	cabextract version 1.9
cadaver	absent		0	
capa	present	--help	4392	capa 9.4.0
capa-explorer-web	absent		0	
capa-offline	present	--help	4392	capa 9.4.0
capinfos	present	--help	2219	Capinfos (Wireshark) 4.0.17 (Git v4.0.17 packaged as 4.0.17-0+deb12u3).
capsh	present	--help	2425	
captoinfo	present	--help	1749	ncurses 6.4.20221231
captype	present	--help	326	Captype (Wireshark) 4.0.17 (Git v4.0.17 packaged as 4.0.17-0+deb12u3).
cat	present	--help	1107	cat (GNU coreutils) 9.1
cc	present	--help	4088	cc (Debian 12.2.0-14+deb12u1) 12.2.0
ccrypt	present	--help	2004	ccrypt 1.11. Secure encryption and decryption of files and streams.
cewl	absent		0	
cffi-gen-src	present	--help	406	
cfr	absent		0	
chage	present	--help	884	chage: unrecognized option '--version'
chainsaw	present	--help	1336	chainsaw 2.16.0
chattr	present		0	Usage: chattr [-RVf] [-+=aAcCdDeijPsStTuFx] [-p project] [-v version] files...
chcon	present	--help	2039	chcon (GNU coreutils) 9.1
chcpu	present	--help	494	chcpu from util-linux 2.38.1
chepy	absent		0	
chfn	present	--help	477	chfn: unrecognized option '--version'
chgpasswd	present	--help	569	chgpasswd: unrecognized option '--version'
chgrp	present	--help	1949	chgrp (GNU coreutils) 9.1
chkrootkit	absent		0	
chmem	present	--help	482	chmem from util-linux 2.38.1
chmod	present	--help	1079	chmod (GNU coreutils) 9.1
chntpw	absent		0	
choom	present	--help	369	choom from util-linux 2.38.1
chown	present	--help	2614	chown (GNU coreutils) 9.1
chpasswd	present	--help	568	chpasswd: unrecognized option '--version'
chrome.extensions	absent		0	
chromium-browser	absent		0	
chroot	present	--help	703	chroot (GNU coreutils) 9.1
chrt	present	--help	1116	chrt from util-linux 2.38.1
chsh	present	--help	232	chsh: unrecognized option '--version'
cisco-global-exploiter	absent		0	
cisco-ocs	absent		0	
cisco-torch	absent		0	
cksum	present	--help	2165	cksum (GNU coreutils) 9.1
clambc	present	--help	1229	Clam AntiVirus Bytecode Testing Tool 1.4.3
clamdscan	absent		0	
clamscan	present	--help	8404	ClamAV 1.4.3
clamsubmit	present	--help	819	ClamAV 1.4.3
clang	absent		0	
clang++-15	present	--help	65536	Debian clang version 15.0.6
clang-15	present	--help	65536	Debian clang version 15.0.6
clang-cpp-15	present	--help	65536	Debian clang version 15.0.6
clang-format-radare2	present	--help	1139	clang-format-radare2 1.0
claude-code	absent		0	
clear	present	--help	181	ncurses 6.4.20221231
clear_console	present	--help	192	clear_console: Version 0.1
cmder	absent		0	
cmospwd	absent		0	
cmp	present	--help	1314	cmp (GNU diffutils) 3.8
code	absent		0	
codetrack	absent		0	
comm	present	--help	1436	comm (GNU coreutils) 9.1
commix	absent		0	
convert	absent		0	
copy-router-config	absent		0	
corelist	present	--help	3964	
cp	present	--help	4822	cp (GNU coreutils) 9.1
cpan	present	--help	780	/usr/bin/cpan version 1.64 calling Getopt::Std::getopts (version 1.13 [paranoid]),
cpan5.36-x86_64-linux-gnu	present	--help	843	/usr/bin/cpan5.36-x86_64-linux-gnu version 1.64 calling Getopt::Std::getopts (version 1.13 [paranoid]),
cpgr	present	--help	193	cpgr: version: No such file or directory
cpp	present	--help	4090	cpp (Debian 12.2.0-14+deb12u1) 12.2.0
cpp-12	present	--help	4096	cpp-12 (Debian 12.2.0-14+deb12u1) 12.2.0
cppw	present	--help	193	cppw: version: No such file or directory
crackle	absent		0	
creddump7	absent		0	
cron	present		0	
crontab	present	--help	463	version: No such file or directory
crunch	absent		0	
cryptcat	absent		0	
cryptotester	absent		0	
cryptsetup	present	--help	14471	cryptsetup 2.6.1 flags: UDEV BLKID KEYRING KERNEL_CAPI 
cs-analyze-processdump.py	absent		0	
cs-decrypt-metadata.py	absent		0	
cs-extract-key.py	absent		0	
cs-parse-traffic.py	absent		0	
csce	absent		0	
csplit	present	--help	1472	csplit (GNU coreutils) 9.1
ctrlaltdel	present	--help	193	ctrlaltdel from util-linux 2.38.1
ctstat	present	--help	672	ctstat Version 6.1.0
curl	present	--help	914	curl 7.88.1 (x86_64-pc-linux-gnu) libcurl/7.88.1 OpenSSL/3.0.20 zlib/1.2.13 brotli/1.0.9 zstd/1.5.4 libidn2/2.3.3 libpsl/0.21.2 (+libidn2/2.3.3) libssh2/1.10.0 nghttp2/1.52.0 librtmp/2.3 OpenLDAP/2.5.13
cut	present	--help	1782	cut (GNU coreutils) 9.1
cut-bytes.py	absent		0	
cutter	absent		0	
cutycapt	absent		0	
cvtsudoers	present	--help	1329	cvtsudoers version 1.9.13p3
cyberchef	present	--help	176	
cygwin	absent		0	
cymothoa	absent		0	
d2j-dex2jar	absent		0	
darkstat	absent		0	
dash	present		0	dash: 0: cannot open version: No such file
date	present	--help	4875	date (GNU coreutils) 9.1
davtest	absent		0	
dbd	absent		0	
dc3-mwcp	absent		0	
dc3dd	present	--help	9633	dc3dd (dc3dd) 7.2.646
dcb	present	--help	361	dcb: unrecognized option '--version'
dcfldd	present	--help	2520	dcfldd (dcfldd) 1.9
dd	present	--help	3296	dd (coreutils) 9.1
ddrescue	absent		0	
de4dot	absent		0	
de4dot-cex	absent		0	
deb-systemd-helper	present	--help	197	Unknown option: version
deb-systemd-invoke	present		0	
debconf	present	--help	252	Unknown option: version
debconf-apt-progress	present		0	Unknown option: version
debconf-communicate	present	--help	196	Unknown option: version
debconf-copydb	present	--help	123	Unknown option: version
debconf-escape	present	--help	168	Unknown option: version
debconf-set-selections	present	--help	222	Unknown option: version
debconf-show	present	--help	148	Unknown option: version
debloat	absent		0	
debugfs	present	--help	220	debugfs 1.47.0 (5-Feb-2023)
decai	absent		0	
decode-vbe.py	absent		0	
decompyle++	absent		0	
default-jre	absent		0	
default-mysql-server	absent		0	
delgroup	present	--help	548	deluser version 3.134
delpart	present	--help	215	delpart from util-linux 2.38.1
deluser	present	--help	548	deluser version 3.134
delv	present	--help	2650	Invalid option: --version
dependencywalker	absent		0	
devlink	present	--help	375	devlink: unrecognized option '--version'
dex2jar	absent		0	
dexray	absent		0	
df	present	--help	2430	df (GNU coreutils) 9.1
dfir	present	--help	1713	
dh_perl_openssl	present	--help	488	Can't locate Debian/Debhelper/Dh_Lib.pm in @INC (you may need to install the Debian::Debhelper::Dh_Lib module) (@INC contains: /etc/perl /usr/local/lib/x86_64-linux-gnu/perl/5.36.0 /usr/local/share/perl/5.36.0 /usr/lib/x86_64-linux-gnu/perl5/5.36 /usr/share/perl5 /usr/lib/x86_64-linux-gnu/perl-base /usr/lib/x86_64-linux-gnu/perl/5.36 /usr/share/perl/5.36 /usr/local/lib/site_perl) at /usr/bin/dh_perl_openssl line 6.
dhcpig	absent		0	
didier-stevens-beta	absent		0	
didier-stevens-suite	absent		0	
die	present	--help	403	Detect It Easy v3.10
diec	present	--help	1545	die 3.10
diel	present	--help	403	Detect It Easy Lite v3.10
diff	present	--help	5387	diff (GNU diffutils) 3.8
diff3	present	--help	1996	diff3 (GNU diffutils) 3.8
dig	present	--help	269	Invalid option: --version
dir	present	--help	7732	dir (GNU coreutils) 9.1
dirb	absent		0	
dirbuster	absent		0	
dircolors	present	--help	908	dircolors (GNU coreutils) 9.1
dirmngr	present	--help	3211	dirmngr (GnuPG) 2.2.40
dirmngr-client	present	--help	1333	dirmngr-client (GnuPG) 2.2.40
dirname	present	--help	691	dirname (GNU coreutils) 9.1
disitool	absent		0	
disitool.py	absent		0	
disktype	present		0	disktype: Can't stat --version: No such file or directory
dislocker	present	--help	1647	dislocker: unrecognized option '--version'
dislocker-fuse	present	--help	1647	dislocker-fuse: unrecognized option '--version'
display	absent		0	
dissect	absent		0	
dll-to-exe	absent		0	
dllcharacteristics.py	absent		0	
dmesg	present	--help	2915	dmesg from util-linux 2.38.1
dmitry	absent		0	
dnfile	absent		0	
dnlib	absent		0	
dns2tcp	absent		0	
dnschef	absent		0	
dnsdomainname	present	--help	1487	hostname 3.23
dnsenum	absent		0	
dnslib	absent		0	
dnsmap	absent		0	
dnspyex	absent		0	
dnsrecon	absent		0	
dnsresolver.py	absent		0	
dnstap-read	present	--help	198	
dnstracer	absent		0	
dnswalk	absent		0	
docker	absent		0	
domainname	present	--help	1487	hostname 3.23
domainstats	absent		0	
dos2unix	absent		0	
dotdotpwn	absent		0	
dotdumper	absent		0	
dotnet	present	--help	950	
dotnet3.5	absent		0	
dotnetfile	absent		0	
dpkg	present	--help	4837	Debian 'dpkg' package management program version 1.21.23 (amd64).
dpkg-architecture	present	--help	1544	Debian dpkg-architecture version 1.21.23.
dpkg-buildflags	present	--help	960	Debian dpkg-buildflags version 1.21.23.
dpkg-buildpackage	present	--help	5368	Debian dpkg-buildpackage version 1.21.23.
dpkg-checkbuilddeps	present	--help	853	Debian dpkg-checkbuilddeps version 1.21.23.
dpkg-deb	present	--help	2762	Debian 'dpkg-deb' package archive backend version 1.21.23 (amd64).
dpkg-distaddfile	present	--help	244	Debian dpkg-distaddfile version 1.21.23.
dpkg-divert	present	--help	1367	Debian dpkg-divert version 1.21.23 (amd64).
dpkg-fsys-usrunmess	present		0	
dpkg-genbuildinfo	present	--help	831	Debian dpkg-genbuildinfo version 1.21.23.
dpkg-genchanges	present	--help	1763	Debian dpkg-genchanges version 1.21.23.
dpkg-gencontrol	present	--help	1031	Debian dpkg-gencontrol version 1.21.23.
dpkg-gensymbols	present	--help	1742	Debian dpkg-gensymbols version 1.21.23.
dpkg-maintscript-helper	present	--help	933	Debian dpkg-maintscript-helper version 1.21.23.
dpkg-mergechangelogs	present	--help	439	Debian dpkg-mergechangelogs version 1.21.23.
dpkg-name	present	--help	594	Debian dpkg-name version 1.21.23.
